time,C1,TOCO,all_non_zero
2017-07-25 22:01:47.457,161,2,True
2017-07-25 22:01:47.457,161,2,True
2017-07-25 22:01:48.456,161,2,True
2017-07-25 22:01:48.456,161,2,True
2017-07-25 22:01:48.456,160,2,True
2017-07-25 22:01:48.456,160,2,True
2017-07-25 22:01:48.456,161,2,True
2017-07-25 22:01:48.456,161,2,True
2017-07-25 22:01:48.456,160,2,True
2017-07-25 22:01:48.456,160,2,True
2017-07-25 22:01:49.452,159,2,True
2017-07-25 22:01:49.452,159,2,True
2017-07-25 22:01:49.452,159,2,True
2017-07-25 22:01:49.452,160,3,True
2017-07-25 22:01:49.452,159,2,True
2017-07-25 22:01:49.452,159,2,True
2017-07-25 22:01:49.452,159,2,True
2017-07-25 22:01:49.452,160,3,True
2017-07-25 22:01:50.438,160,3,True
2017-07-25 22:01:50.438,160,3,True
2017-07-25 22:01:50.438,160,4,True
2017-07-25 22:01:50.438,161,4,True
2017-07-25 22:01:50.438,160,3,True
2017-07-25 22:01:50.438,160,3,True
2017-07-25 22:01:50.438,160,4,True
2017-07-25 22:01:50.438,161,4,True
2017-07-25 22:01:51.451,161,5,True
2017-07-25 22:01:51.451,161,5,True
2017-07-25 22:01:51.451,161,5,True
2017-07-25 22:01:51.451,161,4,True
2017-07-25 22:01:51.451,161,5,True
2017-07-25 22:01:51.451,161,5,True
2017-07-25 22:01:51.451,161,5,True
2017-07-25 22:01:51.451,161,4,True
2017-07-25 22:01:52.453,161,3,True
2017-07-25 22:01:52.453,162,3,True
2017-07-25 22:01:52.453,162,3,True
2017-07-25 22:01:52.453,162,2,True
2017-07-25 22:01:52.453,161,3,True
2017-07-25 22:01:52.453,162,3,True
2017-07-25 22:01:52.453,162,3,True
2017-07-25 22:01:52.453,162,2,True
2017-07-25 22:01:53.448,162,2,True
2017-07-25 22:01:53.448,163,2,True
2017-07-25 22:01:53.448,163,2,True
2017-07-25 22:01:53.448,163,2,True
2017-07-25 22:01:53.448,162,2,True
2017-07-25 22:01:53.448,163,2,True
2017-07-25 22:01:53.448,163,2,True
2017-07-25 22:01:53.448,163,2,True
2017-07-25 22:01:54.452,163,2,True
2017-07-25 22:01:54.452,163,2,True
2017-07-25 22:01:54.452,163,2,True
2017-07-25 22:01:54.452,163,2,True
2017-07-25 22:01:54.452,163,2,True
2017-07-25 22:01:54.452,163,2,True
2017-07-25 22:01:54.452,163,2,True
2017-07-25 22:01:54.452,163,2,True
2017-07-25 22:01:55.463,163,3,True
2017-07-25 22:01:55.463,163,3,True
2017-07-25 22:01:55.463,163,3,True
2017-07-25 22:01:55.463,163,3,True
2017-07-25 22:01:55.463,163,3,True
2017-07-25 22:01:55.463,163,3,True
2017-07-25 22:01:55.463,163,3,True
2017-07-25 22:01:55.463,163,3,True
2017-07-25 22:01:56.457,163,3,True
2017-07-25 22:01:56.457,163,3,True
2017-07-25 22:01:56.457,163,3,True
2017-07-25 22:01:56.457,163,3,True
2017-07-25 22:01:56.457,163,3,True
2017-07-25 22:01:56.457,163,3,True
2017-07-25 22:01:56.457,163,3,True
2017-07-25 22:01:56.457,163,3,True
2017-07-25 22:01:57.450,163,3,True
2017-07-25 22:01:57.450,163,3,True
2017-07-25 22:01:57.450,164,3,True
2017-07-25 22:01:57.450,163,3,True
2017-07-25 22:01:57.450,163,3,True
2017-07-25 22:01:57.450,163,3,True
2017-07-25 22:01:57.450,164,3,True
2017-07-25 22:01:57.450,163,3,True
2017-07-25 22:01:58.456,163,3,True
2017-07-25 22:01:58.456,163,3,True
2017-07-25 22:01:58.456,163,4,True
2017-07-25 22:01:58.456,162,4,True
2017-07-25 22:01:58.456,163,3,True
2017-07-25 22:01:58.456,163,3,True
2017-07-25 22:01:58.456,163,4,True
2017-07-25 22:01:58.456,162,4,True
2017-07-25 22:01:59.444,162,4,True
2017-07-25 22:01:59.444,162,4,True
2017-07-25 22:01:59.444,163,4,True
2017-07-25 22:01:59.444,163,4,True
2017-07-25 22:01:59.444,162,4,True
2017-07-25 22:01:59.444,162,4,True
2017-07-25 22:01:59.444,163,4,True
2017-07-25 22:01:59.444,163,4,True
2017-07-25 22:02:00.457,163,4,True
2017-07-25 22:02:00.457,163,4,True
2017-07-25 22:02:00.457,163,4,True
2017-07-25 22:02:00.457,163,4,True
2017-07-25 22:02:00.457,163,4,True
2017-07-25 22:02:00.457,163,4,True
2017-07-25 22:02:00.457,163,4,True
2017-07-25 22:02:00.457,163,4,True
2017-07-25 22:02:01.462,162,4,True
2017-07-25 22:02:01.462,162,4,True
2017-07-25 22:02:01.462,161,4,True
2017-07-25 22:02:01.462,160,4,True
2017-07-25 22:02:01.462,162,4,True
2017-07-25 22:02:01.462,162,4,True
2017-07-25 22:02:01.462,161,4,True
2017-07-25 22:02:01.462,160,4,True
2017-07-25 22:02:02.452,160,4,True
2017-07-25 22:02:02.452,160,4,True
2017-07-25 22:02:02.452,161,4,True
2017-07-25 22:02:02.452,161,4,True
2017-07-25 22:02:02.452,160,4,True
2017-07-25 22:02:02.452,160,4,True
2017-07-25 22:02:02.452,161,4,True
2017-07-25 22:02:02.452,161,4,True
2017-07-25 22:02:03.482,161,4,True
2017-07-25 22:02:03.482,160,4,True
2017-07-25 22:02:03.482,160,4,True
2017-07-25 22:02:03.482,160,4,True
2017-07-25 22:02:03.482,161,4,True
2017-07-25 22:02:03.482,160,4,True
2017-07-25 22:02:03.482,160,4,True
2017-07-25 22:02:03.482,160,4,True
2017-07-25 22:02:04.449,159,4,True
2017-07-25 22:02:04.449,159,4,True
2017-07-25 22:02:04.449,159,4,True
2017-07-25 22:02:04.449,159,4,True
2017-07-25 22:02:04.449,159,4,True
2017-07-25 22:02:04.449,159,4,True
2017-07-25 22:02:04.449,159,4,True
2017-07-25 22:02:04.449,159,4,True
2017-07-25 22:02:05.443,159,4,True
2017-07-25 22:02:05.443,159,4,True
2017-07-25 22:02:05.443,158,4,True
2017-07-25 22:02:05.443,158,4,True
2017-07-25 22:02:05.443,159,4,True
2017-07-25 22:02:05.443,159,4,True
2017-07-25 22:02:05.443,158,4,True
2017-07-25 22:02:05.443,158,4,True
2017-07-25 22:02:06.445,158,4,True
2017-07-25 22:02:06.445,158,4,True
2017-07-25 22:02:06.445,158,4,True
2017-07-25 22:02:06.445,158,4,True
2017-07-25 22:02:06.445,158,4,True
2017-07-25 22:02:06.445,158,4,True
2017-07-25 22:02:06.445,158,4,True
2017-07-25 22:02:06.445,158,4,True
2017-07-25 22:02:07.458,158,4,True
2017-07-25 22:02:07.458,158,4,True
2017-07-25 22:02:07.458,159,4,True
2017-07-25 22:02:07.458,160,4,True
2017-07-25 22:02:07.458,158,4,True
2017-07-25 22:02:07.458,158,4,True
2017-07-25 22:02:07.458,159,4,True
2017-07-25 22:02:07.458,160,4,True
2017-07-25 22:02:08.444,160,4,True
2017-07-25 22:02:08.444,160,5,True
2017-07-25 22:02:08.444,161,5,True
2017-07-25 22:02:08.444,161,5,True
2017-07-25 22:02:08.444,160,4,True
2017-07-25 22:02:08.444,160,5,True
2017-07-25 22:02:08.444,161,5,True
2017-07-25 22:02:08.444,161,5,True
2017-07-25 22:02:09.468,160,5,True
2017-07-25 22:02:09.468,159,5,True
2017-07-25 22:02:09.468,159,5,True
2017-07-25 22:02:09.468,159,5,True
2017-07-25 22:02:09.468,160,5,True
2017-07-25 22:02:09.468,159,5,True
2017-07-25 22:02:09.468,159,5,True
2017-07-25 22:02:09.468,159,5,True
2017-07-25 22:02:10.446,159,5,True
2017-07-25 22:02:10.446,159,5,True
2017-07-25 22:02:10.446,160,5,True
2017-07-25 22:02:10.446,160,4,True
2017-07-25 22:02:10.446,159,5,True
2017-07-25 22:02:10.446,159,5,True
2017-07-25 22:02:10.446,160,5,True
2017-07-25 22:02:10.446,160,4,True
2017-07-25 22:02:11.462,160,4,True
2017-07-25 22:02:11.462,160,4,True
2017-07-25 22:02:11.462,160,4,True
2017-07-25 22:02:11.462,160,4,True
2017-07-25 22:02:11.462,160,4,True
2017-07-25 22:02:11.462,160,4,True
2017-07-25 22:02:11.462,160,4,True
2017-07-25 22:02:11.462,160,4,True
2017-07-25 22:02:12.443,161,4,True
2017-07-25 22:02:12.443,161,3,True
2017-07-25 22:02:12.443,161,3,True
2017-07-25 22:02:12.443,161,3,True
2017-07-25 22:02:12.443,161,4,True
2017-07-25 22:02:12.443,161,3,True
2017-07-25 22:02:12.443,161,3,True
2017-07-25 22:02:12.443,161,3,True
2017-07-25 22:02:13.453,161,2,True
2017-07-25 22:02:13.453,161,2,True
2017-07-25 22:02:13.453,162,3,True
2017-07-25 22:02:13.453,162,3,True
2017-07-25 22:02:13.453,161,2,True
2017-07-25 22:02:13.453,161,2,True
2017-07-25 22:02:13.453,162,3,True
2017-07-25 22:02:13.453,162,3,True
2017-07-25 22:02:14.447,162,3,True
2017-07-25 22:02:14.447,163,3,True
2017-07-25 22:02:14.447,163,4,True
2017-07-25 22:02:14.447,163,4,True
2017-07-25 22:02:14.447,162,3,True
2017-07-25 22:02:14.447,163,3,True
2017-07-25 22:02:14.447,163,4,True
2017-07-25 22:02:14.447,163,4,True
2017-07-25 22:02:15.466,163,4,True
2017-07-25 22:02:15.466,163,4,True
2017-07-25 22:02:15.466,163,4,True
2017-07-25 22:02:15.466,164,3,True
2017-07-25 22:02:15.466,163,4,True
2017-07-25 22:02:15.466,163,4,True
2017-07-25 22:02:15.466,163,4,True
2017-07-25 22:02:15.466,164,3,True
2017-07-25 22:02:16.457,163,3,True
2017-07-25 22:02:16.457,163,4,True
2017-07-25 22:02:16.457,163,4,True
2017-07-25 22:02:16.457,163,4,True
2017-07-25 22:02:16.457,163,3,True
2017-07-25 22:02:16.457,163,4,True
2017-07-25 22:02:16.457,163,4,True
2017-07-25 22:02:16.457,163,4,True
2017-07-25 22:02:17.456,164,4,True
2017-07-25 22:02:17.456,164,4,True
2017-07-25 22:02:17.456,165,4,True
2017-07-25 22:02:17.456,166,4,True
2017-07-25 22:02:17.456,164,4,True
2017-07-25 22:02:17.456,164,4,True
2017-07-25 22:02:17.456,165,4,True
2017-07-25 22:02:17.456,166,4,True
2017-07-25 22:02:18.445,166,4,True
2017-07-25 22:02:18.445,166,5,True
2017-07-25 22:02:18.445,167,5,True
2017-07-25 22:02:18.445,167,5,True
2017-07-25 22:02:18.445,166,4,True
2017-07-25 22:02:18.445,166,5,True
2017-07-25 22:02:18.445,167,5,True
2017-07-25 22:02:18.445,167,5,True
2017-07-25 22:02:19.452,168,6,True
2017-07-25 22:02:19.452,168,6,True
2017-07-25 22:02:19.452,169,6,True
2017-07-25 22:02:19.452,169,6,True
2017-07-25 22:02:19.452,168,6,True
2017-07-25 22:02:19.452,168,6,True
2017-07-25 22:02:19.452,169,6,True
2017-07-25 22:02:19.452,169,6,True
2017-07-25 22:02:20.440,170,6,True
2017-07-25 22:02:20.440,169,6,True
2017-07-25 22:02:20.440,169,6,True
2017-07-25 22:02:20.440,169,5,True
2017-07-25 22:02:20.440,170,6,True
2017-07-25 22:02:20.440,169,6,True
2017-07-25 22:02:20.440,169,6,True
2017-07-25 22:02:20.440,169,5,True
2017-07-25 22:02:21.452,169,5,True
2017-07-25 22:02:21.452,169,5,True
2017-07-25 22:02:21.452,169,5,True
2017-07-25 22:02:21.452,169,5,True
2017-07-25 22:02:21.452,169,5,True
2017-07-25 22:02:21.452,169,5,True
2017-07-25 22:02:21.452,169,5,True
2017-07-25 22:02:21.452,169,5,True
2017-07-25 22:02:22.454,169,5,True
2017-07-25 22:02:22.454,169,5,True
2017-07-25 22:02:22.454,169,5,True
2017-07-25 22:02:22.454,169,5,True
2017-07-25 22:02:22.454,169,5,True
2017-07-25 22:02:22.454,169,5,True
2017-07-25 22:02:22.454,169,5,True
2017-07-25 22:02:22.454,169,5,True
2017-07-25 22:02:23.449,169,5,True
2017-07-25 22:02:23.449,169,5,True
2017-07-25 22:02:23.449,168,4,True
2017-07-25 22:02:23.449,167,5,True
2017-07-25 22:02:23.449,169,5,True
2017-07-25 22:02:23.449,169,5,True
2017-07-25 22:02:23.449,168,4,True
2017-07-25 22:02:23.449,167,5,True
2017-07-25 22:02:24.451,167,5,True
2017-07-25 22:02:24.451,167,5,True
2017-07-25 22:02:24.451,167,5,True
2017-07-25 22:02:24.451,167,5,True
2017-07-25 22:02:24.451,167,5,True
2017-07-25 22:02:24.451,167,5,True
2017-07-25 22:02:24.451,167,5,True
2017-07-25 22:02:24.451,167,5,True
2017-07-25 22:02:25.448,166,5,True
2017-07-25 22:02:25.448,165,5,True
2017-07-25 22:02:25.448,165,5,True
2017-07-25 22:02:25.448,165,5,True
2017-07-25 22:02:25.448,166,5,True
2017-07-25 22:02:25.448,165,5,True
2017-07-25 22:02:25.448,165,5,True
2017-07-25 22:02:25.448,165,5,True
2017-07-25 22:02:26.458,164,5,True
2017-07-25 22:02:26.458,164,5,True
2017-07-25 22:02:26.458,163,6,True
2017-07-25 22:02:26.458,163,6,True
2017-07-25 22:02:26.458,164,5,True
2017-07-25 22:02:26.458,164,5,True
2017-07-25 22:02:26.458,163,6,True
2017-07-25 22:02:26.458,163,6,True
2017-07-25 22:02:27.445,163,6,True
2017-07-25 22:02:27.445,163,6,True
2017-07-25 22:02:27.445,162,6,True
2017-07-25 22:02:27.445,162,6,True
2017-07-25 22:02:27.445,163,6,True
2017-07-25 22:02:27.445,163,6,True
2017-07-25 22:02:27.445,162,6,True
2017-07-25 22:02:27.445,162,6,True
2017-07-25 22:02:28.452,162,6,True
2017-07-25 22:02:28.452,162,6,True
2017-07-25 22:02:28.452,162,6,True
2017-07-25 22:02:28.452,161,6,True
2017-07-25 22:02:28.452,162,6,True
2017-07-25 22:02:28.452,162,6,True
2017-07-25 22:02:28.452,162,6,True
2017-07-25 22:02:28.452,161,6,True
2017-07-25 22:02:29.480,161,6,True
2017-07-25 22:02:29.480,161,6,True
2017-07-25 22:02:29.480,161,7,True
2017-07-25 22:02:29.480,161,8,True
2017-07-25 22:02:29.480,161,6,True
2017-07-25 22:02:29.480,161,6,True
2017-07-25 22:02:29.480,161,7,True
2017-07-25 22:02:29.480,161,8,True
2017-07-25 22:02:30.467,160,8,True
2017-07-25 22:02:30.467,160,9,True
2017-07-25 22:02:30.467,158,9,True
2017-07-25 22:02:30.467,158,9,True
2017-07-25 22:02:30.467,160,8,True
2017-07-25 22:02:30.467,160,9,True
2017-07-25 22:02:30.467,158,9,True
2017-07-25 22:02:30.467,158,9,True
2017-07-25 22:02:31.463,158,9,True
2017-07-25 22:02:31.463,158,9,True
2017-07-25 22:02:31.463,158,9,True
2017-07-25 22:02:31.463,158,8,True
2017-07-25 22:02:31.463,158,9,True
2017-07-25 22:02:31.463,158,9,True
2017-07-25 22:02:31.463,158,9,True
2017-07-25 22:02:31.463,158,8,True
2017-07-25 22:02:32.470,158,8,True
2017-07-25 22:02:32.470,158,7,True
2017-07-25 22:02:32.470,159,7,True
2017-07-25 22:02:32.470,159,7,True
2017-07-25 22:02:32.470,158,8,True
2017-07-25 22:02:32.470,158,7,True
2017-07-25 22:02:32.470,159,7,True
2017-07-25 22:02:32.470,159,7,True
2017-07-25 22:02:33.448,159,6,True
2017-07-25 22:02:33.448,159,6,True
2017-07-25 22:02:33.448,159,6,True
2017-07-25 22:02:33.448,159,5,True
2017-07-25 22:02:33.448,159,6,True
2017-07-25 22:02:33.448,159,6,True
2017-07-25 22:02:33.448,159,6,True
2017-07-25 22:02:33.448,159,5,True
2017-07-25 22:02:34.451,159,5,True
2017-07-25 22:02:34.451,159,5,True
2017-07-25 22:02:34.451,159,5,True
2017-07-25 22:02:34.451,159,5,True
2017-07-25 22:02:34.451,159,5,True
2017-07-25 22:02:34.451,159,5,True
2017-07-25 22:02:34.451,159,5,True
2017-07-25 22:02:34.451,159,5,True
2017-07-25 22:02:35.463,160,5,True
2017-07-25 22:02:35.463,160,5,True
2017-07-25 22:02:35.463,160,5,True
2017-07-25 22:02:35.463,160,5,True
2017-07-25 22:02:35.463,160,5,True
2017-07-25 22:02:35.463,160,5,True
2017-07-25 22:02:35.463,160,5,True
2017-07-25 22:02:35.463,160,5,True
2017-07-25 22:02:36.453,160,5,True
2017-07-25 22:02:36.453,160,5,True
2017-07-25 22:02:36.453,160,5,True
2017-07-25 22:02:36.453,160,5,True
2017-07-25 22:02:36.453,160,5,True
2017-07-25 22:02:36.453,160,5,True
2017-07-25 22:02:36.453,160,5,True
2017-07-25 22:02:36.453,160,5,True
2017-07-25 22:02:37.457,160,5,True
2017-07-25 22:02:37.457,160,4,True
2017-07-25 22:02:37.457,160,4,True
2017-07-25 22:02:37.457,160,4,True
2017-07-25 22:02:37.457,160,5,True
2017-07-25 22:02:37.457,160,4,True
2017-07-25 22:02:37.457,160,4,True
2017-07-25 22:02:37.457,160,4,True
2017-07-25 22:02:38.450,161,5,True
2017-07-25 22:02:38.450,161,5,True
2017-07-25 22:02:38.450,161,6,True
2017-07-25 22:02:38.450,161,7,True
2017-07-25 22:02:38.450,161,5,True
2017-07-25 22:02:38.450,161,5,True
2017-07-25 22:02:38.450,161,6,True
2017-07-25 22:02:38.450,161,7,True
2017-07-25 22:02:39.436,161,7,True
2017-07-25 22:02:39.436,161,7,True
2017-07-25 22:02:39.436,161,7,True
2017-07-25 22:02:39.436,161,7,True
2017-07-25 22:02:39.436,161,7,True
2017-07-25 22:02:39.436,161,7,True
2017-07-25 22:02:39.436,161,7,True
2017-07-25 22:02:39.436,161,7,True
2017-07-25 22:02:40.446,160,7,True
2017-07-25 22:02:40.446,159,6,True
2017-07-25 22:02:40.446,159,6,True
2017-07-25 22:02:40.446,159,6,True
2017-07-25 22:02:40.446,160,7,True
2017-07-25 22:02:40.446,159,6,True
2017-07-25 22:02:40.446,159,6,True
2017-07-25 22:02:40.446,159,6,True
2017-07-25 22:02:41.454,159,5,True
2017-07-25 22:02:41.454,159,5,True
2017-07-25 22:02:41.454,159,5,True
2017-07-25 22:02:41.454,159,5,True
2017-07-25 22:02:41.454,159,5,True
2017-07-25 22:02:41.454,159,5,True
2017-07-25 22:02:41.454,159,5,True
2017-07-25 22:02:41.454,159,5,True
2017-07-25 22:02:42.448,159,5,True
2017-07-25 22:02:42.448,159,5,True
2017-07-25 22:02:42.448,159,5,True
2017-07-25 22:02:42.448,159,5,True
2017-07-25 22:02:42.448,159,5,True
2017-07-25 22:02:42.448,159,5,True
2017-07-25 22:02:42.448,159,5,True
2017-07-25 22:02:42.448,159,5,True
2017-07-25 22:02:43.464,159,5,True
2017-07-25 22:02:43.464,159,5,True
2017-07-25 22:02:43.464,159,5,True
2017-07-25 22:02:43.464,159,5,True
2017-07-25 22:02:43.464,159,5,True
2017-07-25 22:02:43.464,159,5,True
2017-07-25 22:02:43.464,159,5,True
2017-07-25 22:02:43.464,159,5,True
2017-07-25 22:02:44.445,159,5,True
2017-07-25 22:02:44.445,159,5,True
2017-07-25 22:02:44.445,159,5,True
2017-07-25 22:02:44.445,159,4,True
2017-07-25 22:02:44.445,159,5,True
2017-07-25 22:02:44.445,159,5,True
2017-07-25 22:02:44.445,159,5,True
2017-07-25 22:02:44.445,159,4,True
2017-07-25 22:02:45.586,159,5,True
2017-07-25 22:02:45.586,160,5,True
2017-07-25 22:02:45.586,160,5,True
2017-07-25 22:02:45.586,160,5,True
2017-07-25 22:02:45.586,159,5,True
2017-07-25 22:02:45.586,160,5,True
2017-07-25 22:02:45.586,160,5,True
2017-07-25 22:02:45.586,160,5,True
2017-07-25 22:02:46.447,160,5,True
2017-07-25 22:02:46.447,159,5,True
2017-07-25 22:02:46.447,159,5,True
2017-07-25 22:02:46.447,158,5,True
2017-07-25 22:02:46.447,160,5,True
2017-07-25 22:02:46.447,159,5,True
2017-07-25 22:02:46.447,159,5,True
2017-07-25 22:02:46.447,158,5,True
2017-07-25 22:02:47.457,157,5,True
2017-07-25 22:02:47.457,157,5,True
2017-07-25 22:02:47.457,157,4,True
2017-07-25 22:02:47.457,157,4,True
2017-07-25 22:02:47.457,157,5,True
2017-07-25 22:02:47.457,157,5,True
2017-07-25 22:02:47.457,157,4,True
2017-07-25 22:02:47.457,157,4,True
2017-07-25 22:02:48.440,157,4,True
2017-07-25 22:02:48.440,156,4,True
2017-07-25 22:02:48.440,155,4,True
2017-07-25 22:02:48.440,155,4,True
2017-07-25 22:02:48.440,157,4,True
2017-07-25 22:02:48.440,156,4,True
2017-07-25 22:02:48.440,155,4,True
2017-07-25 22:02:48.440,155,4,True
2017-07-25 22:02:49.458,154,3,True
2017-07-25 22:02:49.458,153,3,True
2017-07-25 22:02:49.458,153,3,True
2017-07-25 22:02:49.458,153,3,True
2017-07-25 22:02:49.458,154,3,True
2017-07-25 22:02:49.458,153,3,True
2017-07-25 22:02:49.458,153,3,True
2017-07-25 22:02:49.458,153,3,True
2017-07-25 22:02:50.443,153,3,True
2017-07-25 22:02:50.443,153,3,True
2017-07-25 22:02:50.443,153,3,True
2017-07-25 22:02:50.443,153,3,True
2017-07-25 22:02:50.443,153,3,True
2017-07-25 22:02:50.443,153,3,True
2017-07-25 22:02:50.443,153,3,True
2017-07-25 22:02:50.443,153,3,True
2017-07-25 22:02:51.454,153,3,True
2017-07-25 22:02:51.454,153,3,True
2017-07-25 22:02:51.454,153,2,True
2017-07-25 22:02:51.454,153,2,True
2017-07-25 22:02:51.454,153,3,True
2017-07-25 22:02:51.454,153,3,True
2017-07-25 22:02:51.454,153,2,True
2017-07-25 22:02:51.454,153,2,True
2017-07-25 22:02:52.438,152,2,True
2017-07-25 22:02:52.438,152,2,True
2017-07-25 22:02:52.438,151,2,True
2017-07-25 22:02:52.438,151,2,True
2017-07-25 22:02:52.438,152,2,True
2017-07-25 22:02:52.438,152,2,True
